booking_id,sailing_id,booking_date,days_to_departure,channel,party_size,fare_paid_per_person,discount_flag,price_version,competitor_price_index,booking_segment
B00001,S048,2024-09-01,256,direct,3,5157.23,1,P1,1.0,early_planner
B00002,S048,2024-11-08,188,direct,2,6241.92,0,P1,1.11,early_planner
B00003,S048,2024-08-22,266,direct,4,6352.49,0,P1,0.99,early_planner
B00004,S048,2024-07-29,290,web,1,6263.76,0,P1,1.03,early_planner
B00005,S048,2024-10-17,210,direct,4,6546.95,0,P1,0.88,early_planner
B00006,S048,2024-09-26,231,travel_agent,2,6511.85,0,P1,1.09,loyal_guest
B00007,S048,2024-11-01,195,web,1,6613.23,0,P1,0.86,early_planner
B00008,S048,2024-07-19,300,direct,4,5013.45,1,P1,1.02,early_planner
B00009,S048,2024-07-26,293,direct,4,6523.46,0,P1,1.0,early_planner
B00010,S048,2024-09-05,252,direct,2,6421.14,0,P1,1.08,loyal_guest
B00011,S048,2024-10-16,211,web,2,5457.24,1,P1,1.1,early_planner
B00012,S048,2024-09-03,254,travel_agent,3,6498.7,0,P1,0.94,loyal_guest
B00013,S048,2024-12-30,136,travel_agent,1,6664.15,0,P1,1.09,early_planner
B00014,S048,2025-03-11,65,direct,2,4866.4,1,P3,1.07,mid_booker
B00015,S048,2024-12-27,139,direct,2,6520.66,0,P2,1.09,mid_booker
B00016,S048,2025-03-06,70,direct,1,6366.63,0,P3,1.08,early_planner
B00017,S048,2025-01-22,113,web,4,6327.1,0,P2,1.09,mid_booker
B00018,S048,2024-12-22,144,web,2,6506.75,0,P2,1.11,early_planner
B00019,S048,2025-01-01,134,web,4,6701.09,0,P1,0.86,mid_booker
B00020,S048,2025-01-03,132,direct,2,6351.34,0,P1,0.95,mid_booker
B00021,S048,2025-01-09,126,web,3,5334.71,1,P1,0.94,early_planner
B00022,S048,2025-02-04,100,travel_agent,2,6614.45,0,P2,0.98,mid_booker
B00023,S048,2024-11-17,179,travel_agent,4,6261.38,0,P1,0.89,mid_booker
B00024,S048,2025-02-11,93,web,2,6183.64,0,P2,0.95,early_planner
B00025,S048,2025-02-18,86,direct,3,4999.41,1,P3,0.97,mid_booker
B00026,S048,2024-12-21,145,web,1,6648.43,0,P1,1.03,mid_booker
B00027,S048,2024-12-15,151,direct,1,6552.53,0,P2,0.9,early_planner
B00028,S048,2025-02-04,100,direct,4,4809.4,1,P1,0.97,mid_booker
B00029,S048,2025-04-30,15,direct,1,6388.41,0,P2,0.87,mid_booker
B00030,S048,2025-04-29,16,direct,2,6212.28,0,P3,0.85,last_minute
B00031,S048,2025-04-20,25,travel_agent,3,5307.3,1,P3,1.12,last_minute
B00032,S048,2025-05-07,8,web,3,6174.13,0,P3,0.97,last_minute
B00033,S048,2025-04-03,42,direct,2,6225.33,0,P3,0.85,last_minute
B00034,S048,2025-04-04,41,travel_agent,4,4896.57,1,P2,0.87,last_minute
B00035,S048,2025-04-26,19,travel_agent,2,5547.66,1,P3,0.95,mid_booker
B00036,S048,2025-04-16,29,direct,3,4954.22,1,P3,1.1,mid_booker
B00037,S048,2025-04-25,20,travel_agent,3,6076.17,0,P3,0.92,last_minute
B00038,S048,2025-03-17,59,travel_agent,2,6421.49,0,P2,0.98,last_minute
B00039,S048,2025-03-28,48,direct,3,5430.52,1,P3,1.05,last_minute
B00040,S048,2025-03-17,59,direct,2,6652.11,0,P2,0.86,last_minute
B00041,S048,2025-05-11,4,web,2,5503.36,1,P3,0.89,last_minute
B00042,S039,2024-08-12,286,direct,1,5442.04,0,P1,1.04,loyal_guest
B00043,S039,2024-10-04,233,direct,2,5570.24,0,P1,1.04,early_planner
B00044,S039,2024-10-25,212,web,1,5774.79,0,P1,0.85,loyal_guest
B00045,S039,2024-08-12,286,travel_agent,4,5866.18,0,P1,0.86,early_planner
B00046,S039,2024-11-16,190,web,3,5498.95,0,P1,0.99,loyal_guest
B00047,S039,2024-09-27,240,web,2,5704.69,0,P1,0.98,early_planner
